source,target,value
MATH 150,ACMA 101,1
MATH 151,ACMA 101,1
MATH 154,ACMA 101,1
MATH 157,ACMA 101,1
HS BC Mathematics 12,ACMA 231,1
ACMA 336,ACMA 337,1
ACMA 201,ACMA 340,1
ACMA 210,ACMA 340,1
STAT 285,ACMA 340,1
ACMA 321,ACMA 421,1
STAT 350,ACMA 421,1
ACMA 337,ACMA 436,1
ACMA 436,ACMA 437,1
ACMA 437,ACMA 438,1
ACMA 355,ACMA 455,1
ARCH 101,ARCH 271,1
ARCH 201,ARCH 271,1
ARCH 100,ARCH 272W,1
ARCH 101,ARCH 272W,1
ARCH 201,ARCH 272W,1
ARCH 100,ARCH 273,1
ARCH 101,ARCH 273,1
EVSC 100,ARCH 273,1
GEOG 100,ARCH 273,1
REM 100,ARCH 273,1
ARCH 100,ARCH 286,1
ARCH 101,ARCH 286,1
ARCH 201,ARCH 286,1
EVSC 100,ARCH 286,1
GEOG 100,ARCH 286,1
REM 100,ARCH 286,1
ARCH 272W,ARCH 321,1
ARCH 273,ARCH 321,1
ARCH 131,ARCH 322,1
ARCH 131,ARCH 323,1
ARCH 101,ARCH 329,1
ARCH 201,ARCH 329,1
ARCH 101,ARCH 340,1
ARCH 201,ARCH 340,1
ARCH 101,ARCH 348,1
ARCH 201,ARCH 348,1
ARCH 350,ARCH 351,1
ARCH 100,ARCH 363,1
ARCH 101,ARCH 363,1
ARCH 201,ARCH 363,1
ARCH 101,ARCH 365,1
ARCH 201,ARCH 365,1
ARCH 100,ARCH 365,1
REM 100,ARCH 365,1
GEOG 100,ARCH 365,1
EVSC 100,ARCH 365,1
ARCH 131,ARCH 373,1
ARCH 101,ARCH 374,1
ARCH 201,ARCH 374,1
ARCH 101,ARCH 375,1
ARCH 201,ARCH 375,1
ARCH 101,ARCH 376,1
ARCH 201,ARCH 376,1
ARCH 285,ARCH 376,1
GEOG 251,ARCH 376,1
PSYC 210,ARCH 376,1
STAT 101,ARCH 376,1
STAT 201,ARCH 376,1
STAT 203,ARCH 376,1
STAT 205,ARCH 376,1
ARCH 273,ARCH 378,1
ARCH 101,ARCH 386,1
ARCH 201,ARCH 386,1
ARCH 282,ARCH 433,1
ARCH 372,ARCH 433,1
ARCH 282,ARCH 434,1
ARCH 372,ARCH 434,1
ARCH 282,ARCH 435,1
ARCH 372,ARCH 435,1
ARCH 373,ARCH 436,1
ARCH 373,ARCH 442,1
CRIM 357,ARCH 442,1
BPK 303,ARCH 442,1
BPK 324,ARCH 442,1
BPK 325,ARCH 442,1
BPK 326,ARCH 442,1
ARCH 351,ARCH 450,1
ARCH 101,ARCH 471W,1
ARCH 131,ARCH 471W,1
ARCH 201,ARCH 471W,1
ARCH 272W,ARCH 471W,1
ARCH 273,ARCH 471W,1
ARCH 282,ARCH 479,1
ARCH 372,ARCH 479,1
ARCH 282,ARCH 480,1
ARCH 372,ARCH 480,1
ARCH 383,ARCH 483,1
HS Biology 12,BISC 101,1
BISC 100,BISC 101,1
BISC 113,BISC 101,1
BPK 105,BISC 101,1
HSCI 100,BISC 101,1
HS Chemistry 12,BISC 101,1
CHEM 111,BISC 101,1
HS Biology 12,BISC 102,1
BISC 100,BISC 102,1
BISC 113,BISC 102,1
BPK 105,BISC 102,1
HSCI 100,BISC 102,1
BISC 101,BISC 171,1
BISC 102,BISC 171,1
BISC 101,BISC 202,1
BISC 102,BISC 202,1
BISC 101,BISC 204,1
BISC 102,BISC 204,1
BISC 101,BISC 212,1
BISC 102,BISC 212,1
BISC 202,BISC 300,1
BISC 202,BISC 302W,1
MBB 222,BISC 302W,1
BISC 102,BISC 303,1
MBB 222,BISC 303,1
MBB 231,BISC 303,1
BISC 205,BISC 305,1
BPK 205,BISC 305,1
MBB 231,BISC 305,1
BISC 101,BISC 306,1
BISC 102,BISC 306,1
BISC 204,BISC 306,1
GEOG 215,BISC 306,1
BISC 101,BISC 308,1
BISC 102,BISC 308,1
BISC 204,BISC 308,1
GEOG 215,BISC 308,1
BISC 204,BISC 309,1
BISC 101,BISC 313,1
BISC 204,BISC 313,1
BISC 205,BISC 313,1
GEOG 215,BISC 313,1
MBB 231,BISC 313,1
BISC 101,BISC 316,1
BISC 102,BISC 316,1
BISC 101,BISC 317,1
BISC 102,BISC 317,1
BISC 101,BISC 318,1
BISC 102,BISC 318,1
BISC 204,BISC 318,1
HSCI 212,BISC 318,1
BISC 202,BISC 333,1
MBB 222,BISC 333,1
MBB 231,BISC 333,1
BISC 101,BISC 337,1
BISC 102,BISC 337,1
BISC 341,BISC 342,1
BISC 202,BISC 360W,1
BISC 204,BISC 360W,1
GEOG 215,BISC 360W,1
STAT 201,BISC 360W,1
BISC 205,BISC 366,1
MBB 231,BISC 366,1
BISC 205,BISC 405,1
MBB 231,BISC 405,1
BPK 205,BISC 405,1
MBB 231,BISC 405,1
BPK 306,BISC 405,1
HSCI 321,BISC 405,1
BISC 102,BISC 407,1
BISC 204,BISC 407,1
GEOG 215,BISC 407,1
MATH 154,BISC 407,1
BISC 102,BISC 410,1
BISC 204,BISC 410,1
GEOG 215,BISC 410,1
BISC 101,BISC 412,1
BISC 102,BISC 412,1
BISC 204,BISC 412,1
GEOG 215,BISC 412,1
BISC 204,BISC 413,1
BISC 204,BISC 414,1
GEOG 215,BISC 414,1
BISC 204,BISC 420,1
GEOG 215,BISC 420,1
BISC 202,BISC 423,1
MBB 222,BISC 423,1
MBB 231,BISC 423,1
BISC 202,BISC 424,1
MBB 222,BISC 424,1
MBB 231,BISC 424,1
BISC 357,BISC 424,1
